ID,Attr27,Attr34,Attr46,Attr58,Attr6,Attr29,Attr56,Attr39,Attr55,Attr40,target
1.0,11.554,4.5985,1.2133,0.92586,0.16768,3.5818,0.07872799999999999,0.07872799999999999,1189.7,0.35559,0
2.0,0.27052,1.9501,1.1917,0.79303,0.0,5.6431,0.26971999999999996,0.26971999999999996,1.939,0.1049,0
3.0,249.3,3.5679,6.5773,0.80748,0.0,4.1045,0.15987,0.15987,6092.3,3.7693,0
4.0,0.43483,0.097967,0.35935,1.0153,-0.7142,4.6625,-0.015327,0.04415,-13606.0,0.0079827,0
5.0,3.3708,2.8781,0.88928,0.93881,-0.20007,2.2343,0.11017,0.11017,75.681,0.34263000000000005,0
6.0,24.519000000000002,78.09,19.893,0.8726799999999999,0.0,3.6387,0.12275,0.12275,3033.3,2.9208,0
7.0,497.64,15.119000000000002,8.5823,0.73129,0.0,3.6578,0.26455,0.26455,2626.6,6.4375,0
8.0,405.2331524445491,1.5645,0.48228000000000004,0.46775,-0.068816,3.6085,0.55142,0.005592,-191.6,0.008736,0
9.0,-6.1782,5.6495,1.6829,1.0113,0.0,3.7347,-0.098839,-0.098839,3220.4,1.2306,0
10.0,1.0831,0.55638,0.98046,0.90228,0.14742,3.9427,0.097722,0.097722,2513.5,0.056601,0
11.0,0.32997,0.10009,0.47172,0.96691,-0.038258999999999994,4.7211,0.033089,0.031906,-127.33,0.045701,0
12.0,2.556,2.6793,1.3245,0.96295,0.0,4.9981,0.24750999999999998,0.090642,20166.0,0.089755,0
13.0,5.0936,4.6533,2.906,0.94686,0.0,3.7527,0.058414999999999995,0.058414999999999995,2548.7,1.2525,0
14.0,0.0,3.1286,0.7745,0.8326100000000001,0.0,3.2407,0.17104,0.00096475,581.39,0.033792,0
15.0,-965.75,4.7454,1.0484,1.0681,0.0,3.4745,-0.074151,-0.074151,348.87,0.26347,0
16.0,1.5222,1.2498,7.3743,0.8637799999999999,0.24378000000000002,4.2083,0.13622,0.13147999999999999,10277.0,5.3511,0
17.0,22.441999999999997,6.407,5.4668,0.79479,0.26105,5.4968,0.21178000000000002,0.21178000000000002,8.0698,3.3882,0
18.0,1.0649,0.59306,1.6759,0.89679,0.23396,4.0762,0.10321,0.095496,5776.3,0.20936999999999997,0
19.0,0.1217,0.17215999999999998,0.5435,0.99055,0.045754,4.1676,0.0094514,0.012055,-782.24,0.053933,0
20.0,3.5256,8.1258,1.3578,0.9875,-0.19086,2.4368,0.018209,0.018209,57.019,0.49806999999999996,0
21.0,-1.4805,1.1579,2.0001,0.94515,-0.00034738,4.1383,-0.0007346,-0.0007346,2680.9,0.47736999999999996,0
22.0,2.1825,2.097,0.96281,0.9817299999999999,0.0,5.1164,0.037995,0.037995,8728.8,0.022604,0
23.0,0.0,0.13787,69.10600000000001,0.005204,-0.16028,2.099,0.99897,0.020597999999999998,123.84,61.443000000000005,0
24.0,-119.01,4.5293,20.524,2.0493,-0.26591,3.7802,-1.8023,-1.8023,4323.6,18.147000000000002,0
25.0,1.272,0.26855999999999997,0.7563300000000001,0.8890100000000001,0.2232,4.0794,0.11099,0.11308,278.69,0.015619,0
26.0,0.40867,22.996,5.9629,0.96924,0.0,3.3546,0.013066999999999999,0.013066999999999999,1230.6,4.6959,0
27.0,405.2331524445491,51.464,2.704534900523324,0.83025,0.0,1.9925,0.17271,0.17271,81.718,1.3803239224514137,0
28.0,0.21370999999999998,0.058562,0.68906,0.97757,0.089439,5.2868,0.022433,0.020891999999999997,17788.0,0.025619,0
29.0,0.8484200000000001,0.47838,0.68125,0.9371700000000001,0.34547,3.9972,0.062828,0.079512,251.28,0.0086069,0
30.0,0.35065,0.35514,1.6911,0.96614,0.074398,3.8806,0.03386,0.033877,3395.2,0.13201,0
31.0,1.3825,0.32242,1.1266,0.87331,0.26882,4.4905,0.12669,0.12072999999999999,10987.0,0.46252,0
32.0,20.45,2.5679,0.84555,0.97409,0.3048,2.7891,0.041145,0.041145,2.951,0.08538899999999999,0
33.0,0.5595600000000001,2.3467,0.32026,1.0078,0.0,3.9343,-0.18867,-0.18867,-872.15,0.044123,0
34.0,1.4726,1.5852,2.6178,0.88356,0.6912,4.6539,0.11644000000000002,0.13011,16602.0,0.92694,0
35.0,405.2331524445491,7.7107,2.8249,0.9339,0.0,2.4743,0.0091015,0.009103,204.2,0.22473,0
36.0,-2.7261,4.323,0.61058,1.035,-0.043845,4.1257,-0.028061000000000003,-0.028061000000000003,2898.3,0.071924,0
37.0,0.0,2.9263,1.1979,0.8690399999999999,-0.087949,5.3258,0.14849,0.00014319,22052.0,0.47983000000000003,0
38.0,101.05,2.0444,1.9413,0.84215,0.39236,4.0584,0.16028,0.16028,4817.5,0.99516,0
39.0,0.016041999999999997,0.01871,1.5591,0.99271,0.19739,3.8648,0.0072887,0.0015925000000000002,2087.8,0.40808,0
40.0,4.2971,5.0445,1.1125,0.9866299999999999,0.0,2.9901,0.017675,0.017675,341.74,0.0053482,0
41.0,0.06410700000000001,0.04741,1.0251,0.99349,0.19668,3.9953,0.006512899999999999,0.006368899999999999,239.18,0.037901,0
42.0,405.2331524445491,6.3981,6.7015,0.7129,0.0,3.1471,0.23076999999999998,0.23076999999999998,1003.8,4.3676,0
43.0,-0.54367,4.997,1.5311,1.008,0.0,3.9563,0.009545200000000002,0.0095451,3777.8,0.32495999999999997,0
44.0,1377.4,16.808,28.247,0.58922,0.0,1.9186,0.41107,0.41107,79.971,0.12709,0
45.0,0.35386,0.22478,0.75715,0.9652299999999999,0.073344,4.4719,0.034774,0.034155,6087.0,0.2257,0
46.0,0.85714,56.588,6.0588,0.99385,0.0,2.1430000000000002,0.0051706,0.0051706,122.0,2.5882,0
47.0,405.2331524445491,13.901,2.704534900523324,0.50403,0.0,3.0125,0.47626999999999997,0.47626999999999997,421.09,411.22,0
48.0,0.12239000000000001,0.015359000000000001,0.27759,0.9881700000000001,-0.029876999999999997,4.2798,0.011833,0.012094,-5633.7,0.19557,0
49.0,0.12125999999999999,0.057883000000000004,0.62949,0.9888,0.0051724,4.3528,0.011205,0.01199,7135.8,0.040354,0
50.0,405.2331524445491,-0.19798,0.54697,1.0318,-0.20836,4.2942,-0.031784,-0.042819,-5099.0,0.030525999999999998,1
51.0,-27.929000000000002,1.5567,0.40267,1.6153,-0.26247,3.6181,-0.5918399999999999,-0.5918399999999999,-1523.1,0.068249,0
52.0,311.75,6.4221,0.59764,0.90794,0.0,3.7188,0.080813,0.080813,2812.0,0.48796000000000006,1
53.0,0.81286,0.33478,0.71814,0.8759600000000001,0.13407,4.6559,0.12404000000000001,0.07120399999999999,4777.5,0.33956,0
54.0,10.511,5.1259,0.83839,0.9738100000000001,0.0,5.5599,0.021707,0.021707,15322.0,0.24343,0
55.0,405.2331524445491,-0.52618,0.078414,1.0724,-0.42446999999999996,4.4394,-0.07235499999999999,-0.38904,-3049.7,0.0015657,1
56.0,405.2331524445491,1.0438,0.36117,1.1731,-1.6884,2.5105,-0.19988,-0.19988,-472.27,0.25851,0
57.0,405.2331524445491,3.5115,1.3545,0.65292,-0.27015,2.1059,0.35143,0.0,30.235,0.31076,0
58.0,0.098365,0.12824000000000002,1.314,0.99472,0.10142000000000001,4.8029,0.0052788999999999996,0.009784600000000001,17240.0,0.23581999999999997,0
59.0,6.4881,3.4531,1.0,0.87818,0.20836,3.7389,0.14655,0.14655,1078.0,0.33707,0
60.0,0.034669,0.008717,0.37821,0.98959,-0.006704000000000001,4.7538,0.010409999999999999,0.003431,-7003.6,0.010256999999999999,0
61.0,0.37644,2.843,0.7018800000000001,1.0013,-0.037843,3.594,0.009472,0.009472,545.65,0.1092,0
62.0,-0.42318999999999996,-0.17758,0.89525,1.0267,-1.5657,4.408,-0.026718000000000002,-0.043449,2721.1,0.008665,0
63.0,-0.46774,0.30321,0.34717,1.3521,-1.6347,3.0891,-0.07331900000000001,-0.07331900000000001,-2308.7,0.32184,0
64.0,6.4709,1.4788,0.64565,0.75912,0.0,4.9868,0.26153000000000004,0.26153000000000004,1.2009999999999998,0.089638,0
65.0,3.4687,1.8297,0.64182,0.94232,0.028654000000000002,4.5189,0.067319,0.067319,-1803.4,0.022236000000000002,0
66.0,405.2331524445491,81.896,2.4878,0.9299299999999999,0.0,3.0244,0.074043,0.074043,297.69,1.1683,0
67.0,1.3781,1.2755,1.4207,0.87349,1.0097,4.1646,0.12650999999999998,0.12037,6295.2,0.096012,0
68.0,405.2331524445491,0.0,0.78082,0.0016323,-0.05993099999999999,3.5765,1.0,0.0057872,-51.0,0.04024,0
69.0,-2.1316,1.1207,0.45548999999999995,1.1361,-0.19177,3.5658,-0.11619000000000002,-0.11619000000000002,-549.47,0.004211,0
70.0,0.59309,0.48565,5.232,0.9164899999999999,0.13310999999999998,4.0928,0.083505,0.054357,5205.4,4.274,0
71.0,1.5222,1.5156,0.55294,0.88964,0.0,3.9423,0.07918,0.07918,2985.0,0.01213,0
72.0,2.1257,4.4185,0.86345,0.9731200000000001,0.0,4.3016,0.040361,0.040361,3538.1,0.19162,0
73.0,-1.8372,1.7311,1.0941,1.0832,-0.41257,3.1512,-0.20651,-0.20651,134.57,0.56386,0
74.0,1.2304,1.8248,0.27625,0.9729399999999999,-0.17393,2.5669,0.090788,0.090788,-13.865,0.049693,0
75.0,405.2331524445491,0.0,1.1856,6.6163e-05,-0.27152,2.171,1.0,2.4505e-06,21.85,0.044573,0
76.0,1.8624,6.7941,0.9942700000000001,0.9953200000000001,0.0,3.7183,0.009459,0.009459,1139.0,0.036088,0
77.0,24.031,14.265999999999998,0.73049,0.95263,0.12661,2.8141,0.04943,0.04943,55.666000000000004,0.41175,0
78.0,3.8337,2.7474,1.8864,0.9557899999999999,0.0007718,3.9066,0.058444,0.058444,1518.1,1.0543,0
79.0,1.6462,1.6444,0.6524,0.97065,0.0,3.8485,0.029977999999999998,0.029977999999999998,2186.6,0.0079052,0
80.0,-1.5983,1.7961,0.9162299999999999,1.0043,0.0,3.7368,-0.020115,-0.020115,9.232000000000001,0.23043000000000002,0
81.0,-997.09,1.0289,0.46515,0.9591299999999999,-0.38876,3.8686,-0.022113999999999998,-0.022113999999999998,92.975,0.059101,0
82.0,0.052229,0.040594,3.0614,0.99749,0.28394,4.2765,0.002513,0.00521,9915.0,2.7974,0
83.0,0.68158,0.089179,0.2768,0.9316399999999999,0.11721,4.9030000000000005,0.068362,0.063498,-15710.0,0.026631000000000002,0
84.0,2.0921,2.3311,0.32691,0.95893,0.0,3.3907,0.022654,0.022654,29.829,0.010046,0
85.0,-0.10007,-0.024256,1.0989,1.0544,0.086212,3.7460000000000004,-0.054387,-0.010551999999999999,790.18,0.010245,0
86.0,27352.0,1.0992,13.405,0.93525,0.0,2.9381,0.005838,0.005835,248.38,6.6462,0
87.0,0.47668,0.26785,2.1521,1.1391,0.14147,4.4727,-0.13912,0.054299,9524.4,0.42053999999999997,0
88.0,2.1173,3.0877,6.425,0.79564,0.48956000000000005,4.3769,0.20435999999999999,0.16846,15461.0,2.5782,0
89.0,0.056603999999999995,5.1324,0.6079100000000001,0.95595,0.0,3.5305,-0.040559,-0.040422,30.0,0.076739,1
90.0,0.28086,0.20114,1.3702,0.9758100000000001,0.047249,4.2731,0.024193,0.027407,7408.3,0.59785,0
91.0,0.02823,0.009222,0.98083,0.9975799999999999,0.10039,4.8124,0.002419,0.002816,9108.1,0.025775,0
92.0,0.0,0.0,0.18244000000000002,-0.015269999999999999,-0.19145,3.0643,1.0,0.036641,-378.04,0.045484,0
93.0,405.2331524445491,4.8205,1.8449,0.8866700000000001,0.0,3.1408,0.098575,0.098575,610.73,0.73768,0
94.0,1.2394,1.8230000000000002,0.17878,1.0133,0.0,4.36,0.018330000000000003,0.018330000000000003,-3755.5,0.038022,0
95.0,16.051,3.5927,1.109,0.9205399999999999,0.28988,4.1435,0.08732100000000001,0.08732100000000001,2010.6,0.036405,0
96.0,-0.13935,-0.042877,1.1062,1.0177,-0.029830000000000002,4.7131,-0.017706,-0.014182,12570.0,0.050950999999999996,0
97.0,17.820999999999998,3.8803,1.2344,0.90764,0.0040455,4.2832,0.1034,0.1034,4817.3,0.60165,0
98.0,0.20305,0.066577,0.48335,0.9803,0.23685,4.5669,0.019703000000000002,0.019905000000000003,7734.2,0.11760999999999999,0
99.0,2.0929,2.1430000000000002,1.0186,0.95078,0.19111,3.4084,0.08774,0.08774,319.33,0.30396999999999996,0
100.0,133.63,1.8997,10.469000000000001,0.9721,0.0,3.9603,0.086786,0.086786,7060.4,9.9015,0
101.0,2.7988,4.8205,2.0465,0.9243100000000001,0.0,3.7471,0.097426,0.097427,2732.8,0.46292,0
102.0,0.2258,0.038267,0.25719000000000003,0.96862,-0.013534000000000001,4.9938,0.031376,0.021871,-43261.0,0.007590899999999999,0
103.0,5.3614,1.2136,4.3726,0.7822899999999999,0.0,5.0775,0.3375,0.26476,80214.0,2.0869999999999997,0
104.0,2.2999,4.6556,0.36709,0.97654,0.0,3.2173,0.043403,0.043403,51.256,0.11759000000000001,0
105.0,1.1753,0.23084000000000002,0.33324000000000004,0.9906200000000001,-0.0272,4.1419,0.009375,0.11642000000000001,-1158.5,0.05256,0
106.0,11.265999999999998,8.3107,0.7169800000000001,0.94706,0.0,3.5709,0.055576,0.055576,304.22,0.30649,0
107.0,0.66335,0.14382,0.58213,0.94578,0.10085,4.7676,0.054216999999999994,0.062739,9278.3,0.03501,0
108.0,-0.62761,-0.50508,2.4442,1.0639,0.040769,4.4062,-0.063911,-0.066772,8712.3,1.5096,0
109.0,1.2274,0.54611,3.4017,0.88245,0.41056000000000004,4.4931,0.11755,0.10832,14362.0,1.5026,0
110.0,10.288,6.3751,0.66369,0.9616100000000001,0.0,3.5743,0.042781,0.042781,206.97,0.27921999999999997,0
111.0,9.0432,1.4647,0.45024,0.82268,0.0,3.8902,0.20848000000000003,0.20848000000000003,1579.1,0.01208,0
112.0,51.167,38.653,82.95299999999999,0.90723,-0.2208,1.6287,0.09461900000000001,0.09461900000000001,42.152,81.211,0
113.0,-0.060444000000000005,-0.030170999999999996,0.5030600000000001,1.004,0.050292,3.9854,-0.0039874,-0.0060685,-119.62,0.0039311,0
114.0,0.0,2.1582,0.84495,0.69226,0.0,2.9810000000000003,0.31172,0.0056333,499.52,0.032251999999999996,0
115.0,0.44811000000000006,0.4378,1.2103,0.9590200000000001,0.41656000000000004,3.6152,0.040982,0.042975,1166.4,0.1975,0
116.0,2.3395,0.40245,0.18865,0.8122699999999999,0.14714000000000002,4.6993,0.18773,0.19003,-15980.0,0.011106999999999999,0
117.0,-1.0058,-0.30789,0.14578,1.1068,-1.0135,3.6931,-0.10682,-0.11133,-4513.5,0.0020434,0
118.0,0.25225,0.035008,0.28841,0.9860899999999999,0.034405,5.1638,0.013913,0.024874,-32019.0,0.011478,0
119.0,1.6264,0.80521,0.59634,0.85714,0.066064,6.3649,0.14286,0.1394,71974.0,0.012164,0
120.0,16.715999999999998,3.8739,1.4068,0.89197,-0.011708,4.8025,0.46563999999999994,0.1218,21504.0,0.2502,0
