Attr46,Attr27,Attr24,Attr58,Attr34,Attr56,Attr35,Attr39,Attr40,Attr61,target
1.2133,11.554,0.16763,0.92586,4.5985,0.07872799999999999,0.17756,0.07872799999999999,0.35559,8.8342,0
1.1917,0.27052,0.05781699999999999,0.79303,1.9501,0.26971999999999996,0.264,0.26971999999999996,0.1049,4.2785,0
6.5773,249.3,0.23538,0.80748,3.5679,0.15987,0.10943,0.15987,3.7693,3.3443,0
0.35935,0.43483,-0.68929,1.0153,0.097967,-0.015327,0.13787,0.04415,0.0079827,14.140999999999998,0
0.88928,3.3708,0.20858000000000002,0.93881,2.8781,0.11017,0.23529,0.11017,0.34263000000000005,15.14,0
19.893,24.519000000000002,0.6035699999999999,0.8726799999999999,78.09,0.12275,0.24201999999999999,0.12275,2.9208,5.3717,0
8.5823,497.64,1.9309,0.73129,15.119000000000002,0.26455,0.3946,0.26455,6.4375,9.6805,0
0.48228000000000004,3.264328499980855,0.004901,0.46775,1.5645,0.55142,0.011448,0.005592,0.008736,7.365,0
1.6829,-6.1782,-0.030811,1.0113,5.6495,-0.098839,-0.12003,-0.098839,1.2306,13.24,0
0.98046,1.0831,0.18200999999999998,0.90228,0.55638,0.097722,0.2042,0.097722,0.056601,10.575999999999999,0
0.47172,0.32997,-0.038258999999999994,0.96691,0.10009,0.033089,0.046669,0.031906,0.045701,12.302,0
1.3245,2.556,0.49162,0.96295,2.6793,0.24750999999999998,0.11295,0.090642,0.089755,3.1274,0
2.906,5.0936,0.12542999999999999,0.94686,4.6533,0.058414999999999995,0.069484,0.058414999999999995,1.2525,5.9176,0
0.7745,0.0,0.28428000000000003,0.8326100000000001,3.1286,0.17104,0.001534,0.00096475,0.033792,5.1742,0
1.0484,-965.75,-0.24374,1.0681,4.7454,-0.074151,-0.21478000000000003,-0.074151,0.26347,5.8219,0
7.3743,1.5222,0.3123,0.8637799999999999,1.2498,0.13622,0.12005999999999999,0.13147999999999999,5.3511,5.3779,0
5.4668,22.441999999999997,0.27921999999999997,0.79479,6.407,0.21178000000000002,0.15697,0.21178000000000002,3.3882,7.0618,0
1.6759,1.0649,0.3237,0.89679,0.59306,0.10321,0.20738,0.095496,0.20936999999999997,4.2675,0
0.5435,0.1217,0.066201,0.99055,0.17215999999999998,0.0094514,0.043906,0.012055,0.053933,36.646,0
1.3578,3.5256,0.18707000000000001,0.9875,8.1258,0.018209,0.087851,0.018209,0.49806999999999996,9.6268,0
2.0001,-1.4805,0.23919,0.94515,1.1579,-0.0007346,-0.00065818,-0.0007346,0.47736999999999996,5.0072,0
0.96281,2.1825,0.090016,0.9817299999999999,2.097,0.037995,0.052172,0.037995,0.022604,3.3246,0
69.10600000000001,0.0,0.36379,0.005204,0.13787,0.99897,0.039167,0.020597999999999998,61.443000000000005,17.541,0
20.524,-119.01,1.3358,2.0493,4.5293,-1.8023,-0.18800999999999998,-1.8023,18.147000000000002,1.341,0
0.7563300000000001,1.272,0.26985,0.8890100000000001,0.26855999999999997,0.11099,0.13462000000000002,0.11308,0.015619,5.1444,0
5.9629,0.40867,0.6158899999999999,0.96924,22.996,0.013066999999999999,0.02949,0.013066999999999999,4.6959,18.391,0
1.4221035368796706,0.5521949181441791,0.017551,0.83025,51.464,0.17271,0.013663999999999999,0.17271,0.3329291441402967,3.1446880483624393,0
